sp,pvL,pvR,mvL,mvR
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1050,20,19
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,1000,20,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,21
1000,1000,1000,20,21
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,21
1000,1000,1050,20,19
1000,1000,1000,20,21
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,1000,20,21
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1000,20,21
1000,1050,1050,17,19
1000,950,950,22,24
1000,1000,1000,20,22
1000,1000,1000,20,21
1000,1000,1000,20,22
1000,1000,1000,20,21
1000,1050,1050,17,19
1000,950,950,22,24
1000,1050,1050,17,19
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,950,1050,22,19
1000,1050,950,17,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,950,950,22,24
1000,1000,1050,20,19
1000,1050,950,17,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,21
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,21
1000,1050,1000,17,22
1000,950,1000,22,21
1000,1050,1000,17,21
1000,1000,1000,20,21
1000,950,1050,22,19
1000,1050,950,17,24
1000,1000,1000,20,21
1000,950,1050,22,19
1000,1050,950,17,24
1000,950,1050,22,19
1000,1050,950,17,24
1000,1000,1000,20,21
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,1000,20,21
1000,1000,1000,20,21
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,19,19
1000,1050,950,17,24
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1050,1000,17,21
1000,950,1000,22,22
1000,1050,1000,17,21
1000,950,1000,22,22
1000,1000,1000,20,21
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1050,20,19
1000,1050,950,17,24
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,20,22
1000,1000,1000,19,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,19,22
1000,1050,950,17,24
1000,950,1050,22,19
1000,1050,950,17,24
1000,950,1050,22,19
1000,1050,950,17,24
1000,950,1000,22,22
1000,1050,1050,17,19
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,1000,22,22
1000,1000,950,19,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,19,24
1000,1050,1050,17,19
1000,950,950,22,24
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,950,17,24
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1050,17,19
1000,1000,950,20,24
1000,950,1050,22,19
1000,1000,950,19,24
1000,1000,1050,19,19
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,19,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,19,22
1000,1000,950,19,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,1000,19,22
1000,1050,950,17,24
1000,950,1050,22,19
1000,1050,950,17,24
1000,1000,1050,19,19
1000,950,950,22,24
1000,1050,1050,17,19
1000,1000,950,19,24
1000,950,1050,22,19
1000,1050,950,17,24
1000,950,1050,22,19
1000,1000,1000,20,22
1000,1000,950,20,24
1000,1050,1050,17,19
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,950,22,24
1000,1000,1050,19,19
1000,1050,1000,17,22
1000,1000,950,19,24
1000,950,1050,22,19
1000,1000,950,19,24
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1050,17,19
1000,950,950,22,24
1000,1000,1050,19,19
1000,1000,1000,20,22
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,19,24
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1050,17,19
1000,1000,950,19,24
1000,950,1050,22,19
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,1000,950,19,24
1000,1000,1050,19,19
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,19,22
1000,1050,950,17,24
1000,950,1050,22,19
1000,1050,1000,17,22
1000,1000,950,19,24
1000,1000,1050,19,19
1000,1000,950,19,24
1000,1000,1050,19,19
1000,1050,950,17,24
1000,950,1050,22,19
1000,1050,950,17,24
1000,950,1050,22,19
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1050,950,17,24
1000,950,1050,22,19
1000,1000,1000,19,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,1000,1000,19,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,1000,1000,19,22
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,950,1000,22,22
1000,1050,1000,17,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1050,950,17,24
1000,950,1050,22,19
1000,1000,950,19,24
1000,1050,1050,17,19
1000,950,1000,22,22
1000,1050,1000,17,22
1000,1000,1000,19,22
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,950,19,24
1000,1000,1050,19,19
1000,1050,1000,17,22
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,950,19,24
1000,1000,1050,19,19
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1050,950,17,24
1000,950,1050,22,19
1000,1000,950,19,24
1000,1050,1050,17,19
1000,950,950,22,24
1000,1050,1050,17,19
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,950,19,24
1000,1000,1050,19,19
1000,1050,1000,17,22
1000,950,950,22,24
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1050,950,17,24
1000,950,1000,22,22
1000,1050,1000,17,22
1000,950,1050,22,20
1000,1000,950,19,24
1000,1050,1050,17,20
1000,950,950,22,24
1000,1000,1050,19,19
1000,1000,950,19,24
1000,1000,1050,19,19
1000,1000,950,19,24
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,950,1050,22,20
1000,1050,950,17,24
1000,1000,1050,19,20
1000,950,950,22,24
1000,1050,1050,17,19
1000,1000,950,19,25
1000,1000,1000,19,22
1000,1000,1050,19,20
1000,1000,950,19,24
1000,1000,1050,19,20
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,950,1000,22,22
1000,1000,1000,20,22
1000,1000,950,20,24
1000,1000,1050,19,19
1000,1050,950,17,24
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1050,19,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1050,950,17,24
1000,950,1050,22,19
1000,1000,950,20,25
1000,1000,1050,20,19
1000,1050,950,17,25
1000,950,1050,22,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,1000,20,22
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1050,20,20
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,1000,20,22
1000,1000,950,20,24
1000,1000,1050,20,20
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1000,20,22
1000,1000,1050,20,19
1000,1000,950,20,24
1000,1000,1050,20,19
1000,1000,950,20,24

